561	21.8	3.2
560	15.6	3.2
559	9.4	3.2
557	3.2	3.2
558	21.8	9.4
556	15.6	9.4
554	9.4	9.4
555	3.2	9.4
552	21.8	15.6
553	15.6	15.6
551	9.4	15.6
549	3.2	15.6
547	21.8	21.8
548	15.6	21.8
545	9.4	21.8
546	3.2	21.8
575	47.4	3.2
572	41.2	3.2
567	35	3.2
568	28.8	3.2
565	47.4	9.4
566	41.2	9.4
563	35	9.4
564	28.8	9.4
569	47.4	15.6
562	41.2	15.6
571	35	15.6
573	28.8	15.6
570	47.4	21.8
574	41.2	21.8
521	35	21.8
550	28.8	21.8
541	21.8	28.8
542	15.6	28.8
543	9.4	28.8
544	3.2	28.8
537	21.8	35
536	15.6	35
538	9.4	35
540	3.2	35
533	21.8	41.2
532	15.6	41.2
535	9.4	41.2
534	3.2	41.2
528	21.8	47.4
530	15.6	47.4
529	9.4	47.4
531	3.2	47.4
525	47.4	28.8
514	41.2	28.8
523	35	28.8
539	28.8	28.8
520	47.4	35
527	41.2	35
518	35	35
516	28.8	35
524	47.4	41.2
517	41.2	41.2
526	35	41.2
519	28.8	41.2
513	47.4	47.4
512	41.2	47.4
522	35	47.4
515	28.8	47.4
579	73	3.2
586	66.8	3.2
576	60.6	3.2
577	54.4	3.2
583	73	9.4
590	66.8	9.4
581	60.6	9.4
588	54.4	9.4
580	73	15.6
582	66.8	15.6
591	60.6	15.6
584	54.4	15.6
603	73	21.8
587	66.8	21.8
578	60.6	21.8
589	54.4	21.8
595	98.6	3.2
593	92.4	3.2
594	86.2	3.2
592	80	3.2
598	98.6	9.4
599	92.4	9.4
596	86.2	9.4
597	80	9.4
604	98.6	15.6
602	92.4	15.6
600	86.2	15.6
601	80	15.6
608	98.6	21.8
607	92.4	21.8
606	86.2	21.8
605	80	21.8
614	73	28.8
585	66.8	28.8
638	60.6	28.8
634	54.4	28.8
637	73	35
635	66.8	35
626	60.6	35
633	54.4	35
628	73	41.2
627	66.8	41.2
630	60.6	41.2
629	54.4	41.2
632	73	47.4
631	66.8	47.4
636	60.6	47.4
639	54.4	47.4
610	98.6	28.8
609	92.4	28.8
612	86.2	28.8
611	80	28.8
613	98.6	35
615	92.4	35
617	86.2	35
616	80	35
619	98.6	41.2
618	92.4	41.2
620	86.2	41.2
622	80	41.2
621	98.6	47.4
623	92.4	47.4
624	86.2	47.4
625	80	47.4
1009	21.8	47.4
1008	15.6	47.4
1007	9.4	47.4
1005	3.2	47.4
1006	21.8	41.2
1004	15.6	41.2
1002	9.4	41.2
1003	3.2	41.2
1000	21.8	35
1001	15.6	35
999	9.4	35
997	3.2	35
995	21.8	28.8
996	15.6	28.8
993	9.4	28.8
994	3.2	28.8
1023	47.4	47.4
1020	41.2	47.4
1015	35	47.4
1016	28.8	47.4
1013	47.4	41.2
1014	41.2	41.2
1011	35	41.2
1012	28.8	41.2
1017	47.4	35
1010	41.2	35
1019	35	35
1021	28.8	35
1018	47.4	28.8
1022	41.2	28.8
969	35	28.8
998	28.8	28.8
989	21.8	21.8
990	15.6	21.8
991	9.4	21.8
992	3.2	21.8
985	21.8	15.6
984	15.6	15.6
986	9.4	15.6
988	3.2	15.6
981	21.8	9.4
980	15.6	9.4
983	9.4	9.4
982	3.2	9.4
976	21.8	3.2
978	15.6	3.2
977	9.4	3.2
979	3.2	3.2
973	47.4	21.8
962	41.2	21.8
971	35	21.8
987	28.8	21.8
968	47.4	15.6
975	41.2	15.6
966	35	15.6
964	28.8	15.6
972	47.4	9.4
965	41.2	9.4
974	35	9.4
967	28.8	9.4
961	47.4	3.2
960	41.2	3.2
970	35	3.2
963	28.8	3.2
899	73	47.4
906	66.8	47.4
896	60.6	47.4
897	54.4	47.4
903	73	41.2
910	66.8	41.2
901	60.6	41.2
908	54.4	41.2
900	73	35
902	66.8	35
911	60.6	35
904	54.4	35
923	73	28.8
907	66.8	28.8
898	60.6	28.8
909	54.4	28.8
915	98.6	47.4
913	92.4	47.4
914	86.2	47.4
912	80	47.4
918	98.6	41.2
919	92.4	41.2
916	86.2	41.2
917	80	41.2
924	98.6	35
922	92.4	35
920	86.2	35
921	80	35
928	98.6	28.8
927	92.4	28.8
926	86.2	28.8
925	80	28.8
934	73	21.8
905	66.8	21.8
958	60.6	21.8
954	54.4	21.8
957	73	15.6
955	66.8	15.6
946	60.6	15.6
953	54.4	15.6
948	73	9.4
947	66.8	9.4
950	60.6	9.4
949	54.4	9.4
952	73	3.2
951	66.8	3.2
956	60.6	3.2
959	54.4	3.2
930	98.6	21.8
929	92.4	21.8
932	86.2	21.8
931	80	21.8
933	98.6	15.6
935	92.4	15.6
937	86.2	15.6
936	80	15.6
939	98.6	9.4
938	92.4	9.4
940	86.2	9.4
942	80	9.4
941	98.6	3.2
943	92.4	3.2
944	86.2	3.2
945	80	3.2
